"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
28,"Lewis Kent","4:55.78",2015,NA,"Mississauga 2nd Annual Mississauga Su...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_6460","2nd Annual Mississauga Summer Beer Mile","Mississauga ","August 8, 2015",4,55.78,295.78
29,"Iain McCormick","4:55.88",2018,NA,"Saskatoon, SK, Canadaiballz time trial 2018","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Iain+McCormick","https://www.beermile.com/display/event_151231","iballz time trial 2018","Saskatoon, SK, Canada","June 9, 2018",4,55.88,295.88
30,"Josh Harris","4:56.2",2015,NA,"St. Leonards, AustraliaBeer Mile WR attempt","Coopers 62","https://www.beermile.com/records/ref_beer/beertype_Coopers+62","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+Harris","https://www.beermile.com/display/event_6458","Beer Mile WR attempt","St. Leonards, Australia","August 7, 2015",4,56.2,296.2
31,"James Nielsen","4:57",2014,NA,"San Francisco, CAMarin Beer Mile","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_James+Nielsen","https://www.beermile.com/display/event_5978","Marin Beer Mile","San Francisco, CA","May 27, 2014",4,57,297
32,"Lewis Kent","4:59.1",2016,NA,"Austin, TX, United States2016 FloTrack Beer Mile W...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_150438","2016 FloTrack Beer Mile World Championships","Austin, TX, United States","December 17, 2016",4,59.1,299.1
33,"Lewis Kent","4:59.7",2016,NA,"London, ON, CanadaCanada Day Long Weekend B...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_150255","Canada Day Long Weekend Beer Mile ","London, ON, Canada","July 3, 2016",4,59.7,299.7
34,"Corey Gallagher","5:00.2",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Gallagher","https://www.beermile.com/display/event_6188","Flotrack 2014 Championships, Men's Elite","Circuit of the Americas, Austin, TX","December 3, 2014",5,0.2,300.2
35,"Garrett Cullen","5:00.5",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garrett+Cullen","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,0.5,300.5
36,"Nick Finch","5:00.6",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Molson Canadian","https://www.beermile.com/records/ref_beer/beertype_Molson+Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Nick+Finch","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,0.6,300.6
37,"Lewis Kent","5:01.1",2015,NA,"Hamilton, ONHamilton Summer Beer Mile...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_6424","Hamilton Summer Beer Mile 2015","Hamilton, ON","July 3, 2015",5,1.1,301.1
