"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
559,"Fred Hines","6:34.5",2017,NA,"East River Track, NY, NY2017 Spring NYC Beer Mile...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Fred+Hines","https://www.beermile.com/display/event_150491","2017 Spring NYC Beer Mile Championship (Men)","East River Track, NY, NY","June 22, 2017",6,34.5,394.5
560,"Jordan Trump","6:34.56",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jordan+Trump","https://www.beermile.com/display/event_6603","FloTrack 2015 Championships, Open Heat 3","Austin, TX, United States","December 1, 2015",6,34.56,394.56
561,"Joseph ""Jta"" Altendahl","6:35",2017,NA,"St. Anthony Park Track, S...CTC September","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Joseph+""Jta""+Altendahl","https://www.beermile.com/display/event_151065","CTC September ","St. Anthony Park Track, St. Paul, MN","September 1, 2017",6,35,395
562,"Danys ""Heavy D"" Dorge","6:35",2008,NA,"Winnipeg, MBManitoba 2008 Summer Beer...","Lucky","https://www.beermile.com/records/ref_beer/beertype_Lucky","https://www.beermile.com/query_indy/submit_1/ref_query/name_Danys+""Heavy+D""+Dorge","https://www.beermile.com/display/event_1026","Manitoba 2008 Summer Beermile","Winnipeg, MB","August 22, 2008",6,35,395
563,"Alex Wolf-Root","6:35",2010,NA,"San Francisco, CA5th Annual WVTC Summer Cl...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Alex+Wolf-Root","https://www.beermile.com/display/event_1480","5th Annual WVTC Summer Classic","San Francisco, CA","August 14, 2010",6,35,395
564,"Kent Williams","6:35",1998,NA,"Vancouver, BCHershey Harriers 1998 Bee...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kent+Williams","https://www.beermile.com/display/event_104","Hershey Harriers 1998 Beer Mile","Vancouver, BC","September 28, 1998",6,35,395
565,"Ricky Britton","6:35",2013,NA,"Chicago, IL9th Annual Chicagoland Be...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ricky+Britton","https://www.beermile.com/display/event_5920","9th Annual Chicagoland Beer Mile","Chicago, IL","December 7, 2013",6,35,395
566,"Peter Cardle","6:35",2001,NA,"Vancouver, BC3rd Annual Brockton Oval ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Peter+Cardle","https://www.beermile.com/display/event_162","3rd Annual Brockton Oval Beer Mile","Vancouver, BC","August 1, 2001",6,35,395
567,"Marco Müller","6:35",2018,NA,"Euskirchen, DeutschlandSeb‘s JGA Beermile","Gaffel Kölsch","https://www.beermile.com/records/ref_beer/beertype_Gaffel+Kölsch","https://www.beermile.com/query_indy/submit_1/ref_query/name_Marco+Müller","https://www.beermile.com/display/event_151213","Seb‘s JGA Beermile","Euskirchen, Deutschland","April 28, 2018",6,35,395
568,"Jonathon Silcock","6:35",2002,NA,"Vancouver, BC4th Annual Gemini Beer MI...","Canadian","https://www.beermile.com/records/ref_beer/beertype_Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jonathon+Silcock","https://www.beermile.com/display/event_172","4th Annual Gemini Beer MIle","Vancouver, BC","September 13, 2002",6,35,395
569,"Norbey Gonzalez","6:35",2008,NA,"Morris County, NJ6th Annual New Jersey Bee...","Red Stripe","https://www.beermile.com/records/ref_beer/beertype_Red+Stripe","https://www.beermile.com/query_indy/submit_1/ref_query/name_Norbey+Gonzalez","https://www.beermile.com/display/event_1109","6th Annual New Jersey Beermile Championships","Morris County, NJ","December 28, 2008",6,35,395
570,"Lars Schneider","6:35",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lars+Schneider","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",6,35,395
571,"Aaron McLemore","6:35",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Aaron+McLemore","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",6,35,395
572,"Robbie N","6:35.29",2003,NA,"Edmonton, AB2003 Northern Alberta Reg...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Robbie+N","https://www.beermile.com/display/event_232","2003 Northern Alberta Regional Championships","Edmonton, AB","August 22, 2003",6,35.29,395.29
573,"Adam Jacobs","6:35.3",2017,NA,"Clifton Park, NYShmaltz Brewing Beer Mile...","Slingshot","https://www.beermile.com/records/ref_beer/beertype_Slingshot","https://www.beermile.com/query_indy/submit_1/ref_query/name_Adam+Jacobs","https://www.beermile.com/display/event_151087","Shmaltz Brewing Beer Mile - Wave 1","Clifton Park, NY","September 27, 2017",6,35.3,395.3
574,"Emil ""2.5"" Kalered","6:35.6",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Presidente","https://www.beermile.com/records/ref_beer/beertype_Presidente","https://www.beermile.com/query_indy/submit_1/ref_query/name_Emil+""2.5""+Kalered","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",6,35.6,395.6
575,"Kara Dewalt","6:35.7",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Hops & Grain Beer Mile Br...","https://www.beermile.com/records/ref_beer/beertype_Hops+&+Grain+Beer+Mile+Br...","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kara+Dewalt","https://www.beermile.com/display/event_6187","Flotrack 2014 Championships, Women's Elite","Circuit of the Americas, Austin, TX","December 3, 2014",6,35.7,395.7
576,"Ian Fallas","6:36",1999,NA,"Calgary, ABFalstag '99 Beer Mile","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ian+Fallas","https://www.beermile.com/display/event_14","Falstag '99 Beer Mile","Calgary, AB","December 11, 1999",6,36,396
577,"Kurt G","6:36",2006,NA,"Los Gatos CA2006 Silicon Valley Beer ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kurt+G","https://www.beermile.com/display/event_707","2006 Silicon Valley Beer Mile","Los Gatos CA","November 22, 2006",6,36,396
578,"Craig ""ck"" Kirkwood","6:36",2016,NA,"Tauranga, Bay Of Plenty, ...2016 New Zealand Beer Mil...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Craig+""ck""+Kirkwood","https://www.beermile.com/display/event_150210","2016 New Zealand Beer Mile Championships","Tauranga, Bay Of Plenty, New Zealand","May 21, 2016",6,36,396
579,"Jason fischer","6:36",2019,NA,"Oregon OhGAF Beer Mile (German Ame...","Labatt","https://www.beermile.com/records/ref_beer/beertype_Labatt","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jason+fischer","https://www.beermile.com/display/event_151484","GAF Beer Mile (German American Festival)","Oregon Oh","August 24, 2019",6,36,396
580,"Josh ""Hands"" Shadle","6:36",2008,NA,"Boulder COBoulder Beer Mile","Keystone Ice","https://www.beermile.com/records/ref_beer/beertype_Keystone+Ice","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+""Hands""+Shadle","https://www.beermile.com/display/event_1115","Boulder Beer Mile","Boulder CO","December 31, 2008",6,36,396
581,"Jon Hiatt","6:37",2012,NA,"Chicago, IL8th Annual Chicagoland Be...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jon+Hiatt","https://www.beermile.com/display/event_5914","8th Annual Chicagoland Beer Mile","Chicago, IL","November 24, 2012",6,37,397
582,"Eric Lanjhelm","6:37",1999,NA,"Vancouver, BCBC Beer Miling Champs","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Eric+Lanjhelm","https://www.beermile.com/display/event_105","BC Beer Miling Champs","Vancouver, BC","July 30, 1999",6,37,397
583,"Kent Williams","6:37",1997,NA,"Vancouver, BCWilliam Paul Riley Stag N...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kent+Williams","https://www.beermile.com/display/event_103","William Paul Riley Stag Night Beer Mile","Vancouver, BC","July 26, 1997",6,37,397
584,"Jeramie Carbonaro","6:37",1999,NA,"Windsor, ONWindsor Fall Beer Mile","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jeramie+Carbonaro","https://www.beermile.com/display/event_113","Windsor Fall Beer Mile","Windsor, ON","December 3, 1999",6,37,397
585,"Ned Cunningham","6:37",2013,NA,"New York, NY2013 DWRT Beer Mile","Simple Times","https://www.beermile.com/records/ref_beer/beertype_Simple+Times","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ned+Cunningham","https://www.beermile.com/display/event_5892","2013 DWRT Beer Mile","New York, NY","October 17, 2013",6,37,397
586,"Mr. Pink","6:37",2014,NA,"Toronto, ONSwordfishHHH Beer Mile #1...","Laker","https://www.beermile.com/records/ref_beer/beertype_Laker","https://www.beermile.com/query_indy/submit_1/ref_query/name_Mr.+Pink","https://www.beermile.com/display/event_5953","SwordfishHHH Beer Mile #10.3","Toronto, ON","January 18, 2014",6,37,397
587,"Robert ""50cc"" Killmier","6:37",2008,NA,"Adelaide, South Australia...3rd Annual South Australi...","Tooheys New","https://www.beermile.com/records/ref_beer/beertype_Tooheys+New","https://www.beermile.com/query_indy/submit_1/ref_query/name_Robert+""50cc""+Killmier","https://www.beermile.com/display/event_996","3rd Annual South Australian Beer Mile Championships","Adelaide, South Australia, Australia","April 26, 2008",6,37,397
588,"Robert Kitz","6:37",2005,NA,"Kingston, ONQueen's University Beer M...","Keith's","https://www.beermile.com/records/ref_beer/beertype_Keith's","https://www.beermile.com/query_indy/submit_1/ref_query/name_Robert+Kitz","https://www.beermile.com/display/event_409","Queen's University Beer Mile 2005","Kingston, ON","April 8, 2005",6,37,397
589,"Craig Kirkwood","6:37",2010,NA,"Tauranga, New ZealandTauranga Domain Beer Mile","VB","https://www.beermile.com/records/ref_beer/beertype_VB","https://www.beermile.com/query_indy/submit_1/ref_query/name_Craig+Kirkwood","https://www.beermile.com/display/event_1369","Tauranga Domain Beer Mile","Tauranga, New Zealand","June 5, 2010",6,37,397
590,"Kerry Suter","6:37",2012,NA,"Tauranga, New Zealand2012 New Zealand Beer Mil...","VB","https://www.beermile.com/records/ref_beer/beertype_VB","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kerry+Suter","https://www.beermile.com/display/event_5589","2012 New Zealand Beer Mile Champs","Tauranga, New Zealand","May 26, 2012",6,37,397
591,"Wilhelm Steyn","6:37",2016,NA,"Pretoria, Gauteng, South ...6th Overkruin Beer Mile","Blue Label","https://www.beermile.com/records/ref_beer/beertype_Blue+Label","https://www.beermile.com/query_indy/submit_1/ref_query/name_Wilhelm+Steyn","https://www.beermile.com/display/event_6667","6th Overkruin Beer Mile","Pretoria, Gauteng, South Africa","January 16, 2016",6,37,397
592,"Rowan Platel","6:37",2018,NA,"Tompkins Park, Melville W...The 4th Zaxon Beer Mile C...","Beer","https://www.beermile.com/records/ref_beer/beertype_Beer","https://www.beermile.com/query_indy/submit_1/ref_query/name_Rowan+Platel","https://www.beermile.com/display/event_151305","The 4th Zaxon Beer Mile Cup","Tompkins Park, Melville WA, Australia","September 7, 2018",6,37,397
593,"Adam Lalonde","6:37.5",2006,NA,"Waterloo, ON5th Annual Spring K-W BM ...","Labatt Genuine Draft","https://www.beermile.com/records/ref_beer/beertype_Labatt+Genuine+Draft","https://www.beermile.com/query_indy/submit_1/ref_query/name_Adam+Lalonde","https://www.beermile.com/display/event_589","5th Annual Spring K-W BM (Ontario Championships)","Waterloo, ON","April 1, 2006",6,37.5,397.5
594,"Chris Kimbrough","6:37.6",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Hops & Grain Beer Mile Br...","https://www.beermile.com/records/ref_beer/beertype_Hops+&+Grain+Beer+Mile+Br...","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Kimbrough","https://www.beermile.com/display/event_6187","Flotrack 2014 Championships, Women's Elite","Circuit of the Americas, Austin, TX","December 3, 2014",6,37.6,397.6
595,"Alex Moreno","6:37.7",2010,NA,"Houston, TX2010 Summer Houston Hash ...","Miller High Life","https://www.beermile.com/records/ref_beer/beertype_Miller+High+Life","https://www.beermile.com/query_indy/submit_1/ref_query/name_Alex+Moreno","https://www.beermile.com/display/event_1399","2010 Summer Houston Hash Beer Mile","Houston, TX","August 6, 2010",6,37.7,397.7
596,"Shane Lavell","6:37.8",1998,NA,"Welland, ONNiagara Regional Athletic...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Shane+Lavell","https://www.beermile.com/display/event_111","Niagara Regional Athletic's 1st Annual","Welland, ON","August 13, 1998",6,37.8,397.8
597,"Jason Herd","6:38",2016,NA,"Giles Island, MSGiles Island Beer Mile","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jason+Herd","https://www.beermile.com/display/event_150392","Giles Island Beer Mile","Giles Island, MS","November 23, 2016",6,38,398
598,"Marco Müller","6:38",2018,NA,"Bad Neuenahr-Ahrweiler, G...3. Race Rheinland Beermil...","Heineken","https://www.beermile.com/records/ref_beer/beertype_Heineken","https://www.beermile.com/query_indy/submit_1/ref_query/name_Marco+Müller","https://www.beermile.com/display/event_151264","3. Race Rheinland Beermile Worldcup","Bad Neuenahr-Ahrweiler, Germany","July 13, 2018",6,38,398
599,"JF ""Les Gosses"" Gosselin","6:38",2006,NA,"Sherbrooke, PQInitiation Cross-Country ...","Molson Ex","https://www.beermile.com/records/ref_beer/beertype_Molson+Ex","https://www.beermile.com/query_indy/submit_1/ref_query/name_JF+""Les+Gosses""+Gosselin","https://www.beermile.com/display/event_699","Initiation Cross-Country USherbrooke","Sherbrooke, PQ","September 30, 2006",6,38,398
600,"Andrew Pitre","6:38",2000,NA,"Victoria, BCVictorian Triathletes 200...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Andrew+Pitre","https://www.beermile.com/display/event_110","Victorian Triathletes 2000 Beer Mile","Victoria, BC","December 8, 2000",6,38,398
601,"Perry Martin","6:38",1997,NA,"Calgary, AB2nd Annual B.S.D. Beer Mi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Perry+Martin","https://www.beermile.com/display/event_18","2nd Annual B.S.D. Beer Mile","Calgary, AB","April 18, 1997",6,38,398
602,"Justin Ackerman","6:38",2016,NA,"Thayer  track Ackerman - Jun 2016","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Justin+Ackerman","https://www.beermile.com/display/event_150244","Ackerman - Jun 2016","Thayer  track ","June 25, 2016",6,38,398
603,"Luke Dragstra","6:38",2001,NA,"Victoria, BCIsland Road Racers Christ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Luke+Dragstra","https://www.beermile.com/display/event_158","Island Road Racers Christmas Beer Mile","Victoria, BC","December 25, 2001",6,38,398
604,"<U+0410><U+0440><U+0442><U+0435><U+043C> <U+0428><U+0438><U+0448><U+043A><U+0438><U+043D>","6:38",2019,NA,"MoscowZelrun x MRC Beer Mile","<U+0416><U+0438><U+0433><U+0443><U+043B><U+0438> <U+0411><U+0430><U+0440><U+043D><U+043E><U+0435>...","https://www.beermile.com/records/ref_beer/beertype_<U+0416><U+0438><U+0433><U+0443><U+043B><U+0438>+<U+0411><U+0430><U+0440><U+043D><U+043E><U+0435>...","https://www.beermile.com/query_indy/submit_1/ref_query/name_<U+0410><U+0440><U+0442><U+0435><U+043C>+<U+0428><U+0438><U+0448><U+043A><U+0438><U+043D>","https://www.beermile.com/display/event_151480","Zelrun x MRC Beer Mile","Moscow","August 10, 2019",6,38,398
605,"Billy Kronenwetter","6:38",2019,NA,"Holly Springs, NCSouth Wake Beer Mile","CBC Pace Yourself Pilsner","https://www.beermile.com/records/ref_beer/beertype_CBC+Pace+Yourself+Pilsner","https://www.beermile.com/query_indy/submit_1/ref_query/name_Billy+Kronenwetter","https://www.beermile.com/display/event_151510","South Wake Beer Mile","Holly Springs, NC","October 5, 2019",6,38,398
606,"Chad ""the o'dirty"" Payne","6:38",2007,NA,"Lebanon, KentuckyMark Conely Rowe's Dunder...","Keystone Ice","https://www.beermile.com/records/ref_beer/beertype_Keystone+Ice","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chad+""the+o'dirty""+Payne","https://www.beermile.com/display/event_908","Mark Conely Rowe's Dunder Mifflin Lebanon Meredith Palmer Memorial Celebrity Pigasus Healing Awareness Pro-Am Fun Run Race For The Cure.","Lebanon, Kentucky","December 8, 2007",6,38,398
607,"Bevan Jefferies","6:38",2018,NA,"Tauranga, New Zealand2018 New Zealand Beer Mil...","VB","https://www.beermile.com/records/ref_beer/beertype_VB","https://www.beermile.com/query_indy/submit_1/ref_query/name_Bevan+Jefferies","https://www.beermile.com/display/event_151222","2018 New Zealand Beer Mile Championships","Tauranga, New Zealand","May 26, 2018",6,38,398
608,"Kirsty Jahn","6:38",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Kirsty+Jahn","https://www.beermile.com/display/event_6605","FloTrack 2015 Championships, Women's Elite","Austin, TX, United States","December 1, 2015",6,38,398
609,"Matthew Fisher","6:38.4",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Hops & Grain Zoe","https://www.beermile.com/records/ref_beer/beertype_Hops+&+Grain+Zoe","https://www.beermile.com/query_indy/submit_1/ref_query/name_Matthew+Fisher","https://www.beermile.com/display/event_6186","Flotrack 2014 Championships, Open Sub-Elite","Circuit of the Americas, Austin, TX","December 3, 2014",6,38.4,398.4
610,"Oakton ""meatwad"" Elite","6:38.46",2005,NA,"williamsburg, VATeam Blitz Invitational B...","Miller High Life","https://www.beermile.com/records/ref_beer/beertype_Miller+High+Life","https://www.beermile.com/query_indy/submit_1/ref_query/name_Oakton+""meatwad""+Elite","https://www.beermile.com/display/event_407","Team Blitz Invitational Beer Mile","williamsburg, VA","April 1, 2005",6,38.46,398.46
611,"Gilles ""Moino"" Le Moigne","6:38.72",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Gilles+""Moino""+Le+Moigne","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",6,38.72,398.72
612,"Philipp Escher","6:39",2018,NA,"Bad Neuenahr-Ahrweiler, G...3. Race Rheinland Beermil...","Heineken","https://www.beermile.com/records/ref_beer/beertype_Heineken","https://www.beermile.com/query_indy/submit_1/ref_query/name_Philipp+Escher","https://www.beermile.com/display/event_151264","3. Race Rheinland Beermile Worldcup","Bad Neuenahr-Ahrweiler, Germany","July 13, 2018",6,39,399
613,"derek juno","6:39",2016,NA,"Vancouver, BC, Canada3rd Annual Fraser Street ...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_derek+juno","https://www.beermile.com/display/event_150394","3rd Annual Fraser Street Run Club Beer Mile","Vancouver, BC, Canada","December 3, 2016",6,39,399
614,"Peter Cardle","6:39",2000,NA,"Vancouver, BC2nd Annual Brockton Oval ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Peter+Cardle","https://www.beermile.com/display/event_102","2nd Annual Brockton Oval Beer Mile","Vancouver, BC","August 25, 2000",6,39,399
615,"Carson Witts","6:39",2019,NA,"Victoria, BC, CanadaESPRIT RC Beer Mile - 5th...","Nelson Easy Amber Ale","https://www.beermile.com/records/ref_beer/beertype_Nelson+Easy+Amber+Ale","https://www.beermile.com/query_indy/submit_1/ref_query/name_Carson+Witts","https://www.beermile.com/display/event_151547","ESPRIT RC Beer Mile - 5th Annual","Victoria, BC, Canada","December 18, 2019",6,39,399
616,"Eric Langhjelm","6:39",2003,NA,"Vancouver, BC5th Annual Gemini Beer Mi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Eric+Langhjelm","https://www.beermile.com/display/event_228","5th Annual Gemini Beer Mile","Vancouver, BC","September 12, 2003",6,39,399
617,"Ruben Auer","6:39",2020,NA,"Bad Neuenahr2. Race Rheinland Beermil...","Asahi","https://www.beermile.com/records/ref_beer/beertype_Asahi","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ruben+Auer","https://www.beermile.com/display/event_151646","2. Race Rheinland Beermile Weltcup 2020","Bad Neuenahr","July 10, 2020",6,39,399
618,"Josh ""camel"" Smith","6:39",2003,NA,"Windsor, ONWindsor Fall Beer Mile '0...","Steeler","https://www.beermile.com/records/ref_beer/beertype_Steeler","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+""camel""+Smith","https://www.beermile.com/display/event_273","Windsor Fall Beer Mile '03","Windsor, ON","December 6, 2003",6,39,399
619,"Cataldo Didonna","6:39",2017,NA,"Grand Forks, ND, United S...UND Firewater Run 2017","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Cataldo+Didonna","https://www.beermile.com/display/event_151127","UND Firewater Run 2017","Grand Forks, ND, United States","November 17, 2017",6,39,399
620,"Jean-Samuel Lapointe","6:39",2009,NA,"Quebec, PQAnnual Quebec Endurance's...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jean-Samuel+Lapointe","https://www.beermile.com/display/event_1236","Annual Quebec Endurance's Beer Mile 2009","Quebec, PQ","August 16, 2009",6,39,399
621,"Dave Davis","6:39",2015,NA,"Portland, OR, United Stat...Oregon Beer Mile 2015 - M...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dave+Davis","https://www.beermile.com/display/event_6633","Oregon Beer Mile 2015 - Men's Elite","Portland, OR, United States","December 5, 2015",6,39,399
622,"Robbie Anderson","6:39",2016,NA,"Gothenburg, SwedenThe O's Beermile","Kronenbourg 1664","https://www.beermile.com/records/ref_beer/beertype_Kronenbourg+1664","https://www.beermile.com/query_indy/submit_1/ref_query/name_Robbie+Anderson","https://www.beermile.com/display/event_150384","The O's Beermile","Gothenburg, Sweden","November 25, 2016",6,39,399
623,"Jonas Wallin","6:39",2009,NA,"Link?ping, SwedenLiTHe Syras Beer Mile 200...","Heineken 5% 330ml","https://www.beermile.com/records/ref_beer/beertype_Heineken+5%+330ml","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jonas+Wallin","https://www.beermile.com/display/event_1248","LiTHe Syras Beer Mile 2009","Link?ping, Sweden","September 30, 2009",6,39,399
624,"Drew Wiechnicki","6:39.5",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Hops & Grain Zoe","https://www.beermile.com/records/ref_beer/beertype_Hops+&+Grain+Zoe","https://www.beermile.com/query_indy/submit_1/ref_query/name_Drew+Wiechnicki","https://www.beermile.com/display/event_6185","Flotrack 2014 Championships, Open Heat 2","Circuit of the Americas, Austin, TX","December 3, 2014",6,39.5,399.5
625,"Scott ""The Snake"" Arnald","6:39.8",2006,NA,"Waterloo, ON5th Annual Spring K-W BM ...","Molson Export","https://www.beermile.com/records/ref_beer/beertype_Molson+Export","https://www.beermile.com/query_indy/submit_1/ref_query/name_Scott+""The+Snake""+Arnald","https://www.beermile.com/display/event_589","5th Annual Spring K-W BM (Ontario Championships)","Waterloo, ON","April 1, 2006",6,39.8,399.8
626,"Dan Lazarek","6:40",2002,NA,"Middletown, CTWesleyan Prime Time","Miller High Life","https://www.beermile.com/records/ref_beer/beertype_Miller+High+Life","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Lazarek","https://www.beermile.com/display/event_141","Wesleyan Prime Time","Middletown, CT","May 4, 2002",6,40,400
627,"Alex Wilson","6:40",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Alex+Wilson","https://www.beermile.com/display/event_6612","FloTrack 2015 Championships, Men's Sub-Elite","Austin, TX, United States","December 1, 2015",6,40,400
628,"John Fitzgerald","6:40",1998,NA,"Vancouver, BCHershey Harriers 1998 Bee...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_John+Fitzgerald","https://www.beermile.com/display/event_104","Hershey Harriers 1998 Beer Mile","Vancouver, BC","September 28, 1998",6,40,400
629,"Graham Frank","6:40",2000,NA,"Kingston, ON6th Annual Kingston Sprin...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Graham+Frank","https://www.beermile.com/display/event_56","6th Annual Kingston Spring Beer Mile","Kingston, ON","April 7, 2000",6,40,400
630,"James Akita","6:40",2013,NA,"Chicago, IL9th Annual Chicagoland Be...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_James+Akita","https://www.beermile.com/display/event_5920","9th Annual Chicagoland Beer Mile","Chicago, IL","December 7, 2013",6,40,400
631,"Pat Menzies","6:40",2013,NA,"Toronto, ON7th West Toronto Classic","Big Wheel","https://www.beermile.com/records/ref_beer/beertype_Big+Wheel","https://www.beermile.com/query_indy/submit_1/ref_query/name_Pat+Menzies","https://www.beermile.com/display/event_5822","7th West Toronto Classic","Toronto, ON","June 21, 2013",6,40,400
632,"Alexander Nohn","6:40",2019,NA,"Bad Neuenahr2. Race Rheinland Beermil...","Heineken","https://www.beermile.com/records/ref_beer/beertype_Heineken","https://www.beermile.com/query_indy/submit_1/ref_query/name_Alexander+Nohn","https://www.beermile.com/display/event_151451","2. Race Rheinland Beermile Weltcup 2019","Bad Neuenahr","July 18, 2019",6,40,400
633,"Richard Bouckaert","6:40",2013,NA,"New Orleans, LANOLA Summer Beer Mile","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Richard+Bouckaert","https://www.beermile.com/display/event_5854","NOLA Summer Beer Mile","New Orleans, LA","August 20, 2013",6,40,400
634,"Paul Purin","6:40",2002,NA,"Vancouver, BC4th Annual Gemini Beer MI...","Canadian","https://www.beermile.com/records/ref_beer/beertype_Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Paul+Purin","https://www.beermile.com/display/event_172","4th Annual Gemini Beer MIle","Vancouver, BC","September 13, 2002",6,40,400
